x1,x2,y
0.265848698,0.043769708,0
-0.693297673,0.565274047,0
0.542741955,-0.552888344,0
0.703452549,-0.938274504,1
0.167239588,0.198683856,0
0.640255005,0.544443135,0
0.377438149,0.902090662,0
-0.956802147,0.604804693,1
0.553424855,0.430395446,0
-0.776228053,-0.997281282,1
-0.355053217,-0.101119925,0
-0.774989672,0.176847059,0
0.599977574,-0.567353043,0
0.423450766,0.704525227,0
0.809583441,0.791563393,1
0.295400005,0.641128514,0
-0.256489968,-0.537134027,0
-0.954029432,0.833481616,1
0.068281419,0.693353783,0
-0.839286714,-0.145027621,0
0.272570977,0.844556836,0
-0.968020797,-0.395679844,1
0.632378311,-0.284974727,0
-0.931145659,-0.908756322,1
-0.999803811,0.586656532,1
-0.393355705,0.059468594,0
-0.807355316,0.635367113,1
0.211922344,-0.284120834,0
-0.810249963,0.64509031,1
0.495864708,-0.541226153,0
0.056186702,0.47802396,0
-0.006847807,-0.328933838,0
0.503482374,0.548404435,0
-0.844070612,-0.899055337,1
-0.368271386,-0.430380033,0
0.14217209,0.134790588,0
0.375089936,-0.870498824,0
-0.864313921,0.950624075,1
-0.844249867,-0.117658189,0
-0.788048673,0.233952418,0
-0.272067992,0.900181986,0
-0.909557738,-0.618580238,1
0.449586119,-0.67900493,0
0.134381959,-0.744110408,0
-0.939017525,-0.488948174,1
0.764698685,-0.295620203,0
0.719960776,-0.890542562,1
0.047909122,0.884889657,0
-0.815900668,0.396152179,0
0.07645602,0.854673818,0
0.385252889,-0.220864265,0
0.194127665,0.459173552,0
-0.043778647,0.644602246,0
0.191029585,-0.700449839,0
0.039234985,-0.54694717,0
0.814569471,0.953268253,1
0.779787244,-0.204025172,0
0.140142252,-0.277382939,0
0.495767781,0.052907526,0
-0.276798925,0.034573514,0
0.162862633,-0.137901327,0
0.891577754,-0.997448163,1
0.390457905,-0.018122601,0
-0.484211247,0.929878485,1
-0.37799098,-0.749939806,0
-0.048209607,-0.693418395,0
-0.643056141,-0.437453691,0
-0.780189352,-0.516277697,0
-0.627340007,0.24070917,0
-0.137150899,-0.338618998,0
0.078844027,-0.884896183,0
-0.785824524,0.002769621,0
-0.084369968,-0.988910072,0
-0.095827174,-0.691743955,0
0.478026065,-0.087756173,0
-0.327870022,0.769574727,0
0.016270719,-0.701934189,0
0.457896963,-0.776273748,0
0.181134768,0.254918443,0
0.232443042,-0.529001526,0
0.578991963,-0.349232794,0
-0.00686122,-0.169151684,0
0.835039917,0.534507297,0
-0.143791478,-0.948800277,0
0.866462494,-0.940542468,1
0.691211141,-0.800007647,1
